texto,label_true,intent_raw,conf,gap,intent_pred
Experimentei essa jaqueta. Maravilhosa,agradecimento,nao_entendi,0.8410203350483125,0.7677038665385866,nao_entendi
Obrigada. No aguardo que seja disponibilizado o envio.,agradecimento,agradecimento,0.4461988516688854,0.17813183094998047,outros
"Obrigada pelo retorno! Namoro o modelo gladiador, me lembro dele, mas quando fui procurar, já não tinha mais 😐",agradecimento,nao_entendi,0.38808568685193184,0.018054039276114153,outros
conseguem me ajudar por aqui?,agradecimento,saudacao,0.9802862269904644,0.9688234999423643,saudacao
Conseguem me ajudar por aqui?,agradecimento,saudacao,0.9794215411677132,0.9659725879495367,saudacao
De onde é esse Macacão maravilhoso!!! Amo ❤️,agradecimento,saudacao,0.5401728828898913,0.11694793649697399,saudacao
bia! esse seu curadobia está um arraso! muito tentador. parabéns pelo projeto. uma dúvida: qual a sua altura? estou interessadíssima nessa calça mas sou baixa (160cm) e geralmente tenho que fazer a barras das calças - o que não é muito fácil com essa… 😅 obrigada,agradecimento,tamanho_modelagem,0.8488008009187599,0.7562249035494428,tamanho_modelagem
Bia! Esse seu Curadobia está um arraso! Muito tentador. Parabéns pelo projeto. Uma dúvida: qual a sua altura? Estou interessadíssima nessa calça mas sou baixa (160cm) e geralmente tenho que fazer a barras das calças - o que não é muito fácil com essa… 😅 Obrigada,agradecimento,tamanho_modelagem,0.8445214489712708,0.7600842229537242,tamanho_modelagem
Olá! Tudo bem? Tem cupom para 1a compra?,cupom_primeira,formas_pagamento,0.7814993065624222,0.6090688488744718,formas_pagamento
olá! tudo bem? tem cupom para 1a compra?,cupom_primeira,saudacao,0.4831399585057747,0.02514670054570539,outros
Beijos,despedida,nao_entendi,0.6248138899872491,0.42549641390759163,nao_entendi
Até agora nada!,despedida,nao_entendi,0.4831192518574407,0.06644089521485669,outros
beijos,despedida,agradecimento,0.4634444691578553,0.1935746012481877,outros
até agora nada!,despedida,despedida,0.4135509709375266,0.022953968340643893,outros
Eu amei a blusa branca Tcharam 🥰,disponibilidade,agradecimento,0.6487110299008231,0.5042804807004003,agradecimento
Eu amei a que tem a ponta. Duvida. Tem que ter tornozelo fino? Obrigada,disponibilidade,agradecimento,0.6476361849728468,0.35012559428400264,agradecimento
"oiee tudo bem? amei a bota, tem curadoria dela? bjos",disponibilidade,agradecimento,0.6035024607496257,0.341857425531191,agradecimento
eu amei a que tem a ponta. duvida. tem que ter tornozelo fino? obrigada,disponibilidade,agradecimento,0.5873083028120868,0.2244206207386742,agradecimento
não tem um link de comunicação no whatsapp,disponibilidade,como_comprar,0.963030216060381,0.9362684898942409,como_comprar
Não tem um link de comunicação no WhatsApp,disponibilidade,como_comprar,0.9621282297304252,0.9282672923844588,como_comprar
Oie!! Essa calça vai ter reposição na curadoria?,disponibilidade,disponibilidade_estoque,0.9814253872377025,0.9692751935495213,disponibilidade_estoque
oie!! essa calça vai ter reposição na curadoria?,disponibilidade,disponibilidade_estoque,0.9795822003533404,0.9667464365303856,disponibilidade_estoque
Vai ter reposição dessa calça?,disponibilidade,disponibilidade_estoque,0.9518137914632444,0.9397495249246628,disponibilidade_estoque
vai ter reposição dessa calça?,disponibilidade,disponibilidade_estoque,0.9366123025609286,0.9166356959948652,disponibilidade_estoque
A regata chiquetosa vai voltar pro estoque?,disponibilidade,disponibilidade_estoque,0.9270960193442789,0.9112188734943907,disponibilidade_estoque
a regata chiquetosa vai voltar pro estoque?,disponibilidade,disponibilidade_estoque,0.9149024248818204,0.896336898275038,disponibilidade_estoque
"oi pessoal! tudo bem? acredito que essa calça tenha esgotado, certo? vai ter reposição dela? aguardo retorno! obrigada, milene",disponibilidade,disponibilidade_estoque,0.5642274080087596,0.27893607564705125,disponibilidade_estoque
No e-mail da nota fiscal não tem nada,disponibilidade,disponibilidade_estoque,0.536945178683616,0.38980324099600666,disponibilidade_estoque
"Bom dia tudo bem? Então eu tenho mito daqueles vestidos , com estampas, e alguns até são estampas geométricas e todas as opções possíveis . Como posso fazer que não fiquem parecendo quando usar aquelas roupas que não tem nada haver comigo . Eu estou em uma fase de camisa, calça jeans bem moderna . E roupas mais discretas . Mas é esses vestido como usar ?",disponibilidade,disponibilidade_estoque,0.5220146034940707,0.2932941635492141,disponibilidade_estoque
"bom dia tudo bem? então eu tenho mito daqueles vestidos , com estampas, e alguns até são estampas geométricas e todas as opções possíveis . como posso fazer que não fiquem parecendo quando usar aquelas roupas que não tem nada haver comigo . eu estou em uma fase de camisa, calça jeans bem moderna . e roupas mais discretas . mas é esses vestido como usar ?",disponibilidade,disponibilidade_estoque,0.51936113139323,0.3024531800409565,disponibilidade_estoque
no e-mail da nota fiscal não tem nada,disponibilidade,disponibilidade_estoque,0.5039147262984305,0.32722074166039045,disponibilidade_estoque
Vocês tem loja física?,disponibilidade,formas_pagamento,0.6761619691017834,0.533682787132025,formas_pagamento
"Amoooo suas rasteiras, não são da sua Lj, mas poderia indicar aonde têm aquela custo benefício?",disponibilidade,formas_pagamento,0.6155754166250572,0.4796973065894107,formas_pagamento
"amoooo suas rasteiras, não são da sua lj, mas poderia indicar aonde têm aquela custo benefício?",disponibilidade,formas_pagamento,0.6020142069325741,0.4544953804420586,formas_pagamento
vocês tem loja física?,disponibilidade,formas_pagamento,0.5982744782800213,0.4249360298304346,formas_pagamento
"a jaqueta branca. uma pena eu não conseguir comprar por problemas técnicos, uma experiência de consumidor mto ruim",disponibilidade,formas_pagamento,0.5354914990616131,0.3001311801162021,formas_pagamento
e tem ela preta?,disponibilidade,nao_entendi,0.8708569529448484,0.7562663385768666,nao_entendi
E tem ela preta?,disponibilidade,nao_entendi,0.8440752746492545,0.7009198047825234,nao_entendi
