query,positive,negative
jaqueta jeans,jaqueta jeans clássica,jaqueta de couro
jaqueta jeans oversized,jaqueta jeans oversized feminina,jaqueta puffer
jaqueta jeans preta,jaqueta jeans preta feminina,jaqueta de sarja branca
jaqueta jeans clara,jaqueta jeans azul clara,jaqueta de moletom
jaqueta jeans cropped,jaqueta jeans cropped feminina,blazer alfaiataria
jaqueta sarja,jaqueta de sarja bege,jaqueta puffer
jaqueta couro,jaqueta de couro preta,jaqueta jeans
jaqueta puffer,jaqueta puffer curta,jaqueta de couro
trench coat,trench coat bege,jaqueta jeans
vestido midi preto,vestido midi preto liso,vestido curto estampado
vestido midi evasê,vestido midi evasê preto,vestido longo estampado
vestido slip dress,slip dress de cetim preto,vestido jeans
vestido canelado,vestido midi canelado,vestido plissado floral
vestido chemise,vestido chemise jeans,vestido de renda
vestido envelope,vestido transpassado midi,saia midi plissada
vestido plissado,vestido plissado midi,vestido moletom
vestido tricô,vestido de tricô canelado,vestido de seda
blazer linho bege,blazer de linho bege,blazer sintético preto
blazer alfaiataria,blazer alfaiataria feminino,jaqueta jeans
blazer xadrez,blazer de alfaiataria xadrez,cardigan de tricô
camisa branca,camisa social branca feminina,camiseta básica
camisa tricoline,camisa de tricoline branca,camiseta oversized
camiseta básica preta,camiseta básica preta,camisa social risca
regata canelada,regata canelada preta,camisa social
body preto,body feminino preto,top esportivo
blusa ombro a ombro,blusa ombro a ombro preta,camisa polo
polo feminina,camisa polo feminina,camisa social branca
gola alta,blusa gola alta de tricô,camiseta decote v
calça wide leg,calça jeans wide leg,calça skinny
calça pantalona,calça pantalona preta,short alfaiataria
calça mom,calça jeans mom,legging esportiva
calça flare,calça jeans flare,saia midi
calça reta,calça alfaiataria reta,calça jogger
calça jogger,calça jogger preta,calça social
calça de linho,calça de linho bege,calça moletom
saia plissada,saia midi plissada,saia jeans curta
saia midi preta,saia midi preta lisa,saia curta estampada
saia lápis,saia lápis preta,saia rodada
saia jeans,saia jeans midi,saia de tule
cardigan bege,cardigan bege feminino,jaqueta biker
suéter tricot,suéter de tricô feminino,camiseta regata
moletom oversize,moletom oversized feminino,blazer linho
colete de tricô,colete de tricô bege,jaqueta puffer
mule feminina,mule bico fino feminina,sandália plataforma
sandália tiras,sandália de tiras preta,sapato social masculino
tênis branco,tênis casual branco,bota cano alto
bota couro preta,bota feminina de couro preta,tênis branco
bolsa tiracolo,bolsa tiracolo preta,mochila escolar
bolsa baguete,bolsa baguete preta,bolsa de viagem
macacão pantacourt,macacão pantacourt liso,calça jogger
short alfaiataria,short alfaiataria preto,short jeans destroyed
