texto,intent
consiggo falar com atendente?,falar_com_humano
"veioo com defeito, como faço a devolução?",troca_devolucao
que calca maravilhosa,duvida_tamanho
a jaqueta branca uma pena eu nao conseguir comprar por problemas tecnicos uma experiencia de consumidor mto ruim,duvida_tamanho
ela a c reta e certa acredito que o tamanho m funcione bem para vocaa o tecido da base a c mais malea vel que da parte de cima,outros
conjuntinho,outros
somos uma produtora de a udio visual e achamos que seria interessante apresentar o nosso trabalho e portifa <num> lio,duvida_tamanho
essa modelagem é mais enxuta? o camisa de viscose veste grande?,tamanho_modelagem
boa tarde fabiana como vai passando para avisar que as blusas acabaram de ser repostas no site estoque,saudacao
tem calça alfaiataria verde 40?,buscar_produto_por_nome
"sou 42, às vezes pego M; o saia plissada segue a tabela certinha?",tamanho_modelagem
tem tabela de medidas do vestido midi?,tamanho_modelagem
deixa,outros
posso trocar caso eu experimente e prefira uma maior,troca_devolucao
d d d,outros
fiz uma compra de um casaco com vcs e nao vestiu bem gostaria de trocar por uma calca fresquinha tamanho m,duvida_tamanho
pergunta a regata pregas jersey precisa passar resposta modelagem e tecido,tamanho_modelagem
"tenho 92cm de busto e 118cm de quadril, qual tamanho do body canelado vc indica?",duvida_tamanho
chega quando no 01255-022?,frete_prazo
veste pequeno ou grande? queria o saia plissada em GG,duvida_tamanho
obrigada pela presenca stella,despedida
"não serviu, consigo troocar?",troca_devolucao
tem vestido preto no 36?,disponibilidade
ola karyna boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo voce demonstrou interesse nos sapatos da bia que apareceram em um dos nossos reels agora eles estao disponiveis no site do curadobia segue o link <url> obrigada por nos acompanhar karyna qualquer duvida estamos a disposicao equipe curadobia,saudacao
pergunta a saia tech vai bem com bota resposta combinacoes e ocasioes,duvida_tamanho
boa tarde a jaqueta off da nauanim voltou,saudacao
na verdade eu ja assisti ao video do casaco no site curadobia varias vezes para tentar chegar a essa conclusao mas nao consegui,onde_comprar
tem blazer preto no 40?,disponibilidade
"prazo pro meu cep 04012-000, chega até 3 dias úteis?",frete_prazo
tem vestido preto tamanho 36?,buscar_produto_por_categoria
"prazo proo meu cep 06030-050, chega até sexta?",frete_prazo
procuro,buscar_produto_por_nome
que maximo marca a gente nos seus looks muito feliz que esta curtindo a selecao de pecas logo mais teremos muitas novidades bacanas,pedido_sugestao
e o body me chega hoje,duvida_tamanho
tem saia verde no GG?,disponibilidade
uso M na parte de cima; o blazer linho serviria?,duvida_tamanho
coisa,saudacao
obrigada pela presenca silvia,despedida
quero camisa preto 46,buscar_produto_por_categoria
oi as compras sa o direto no site,saudacao
obrigada pela presena a renata vai arrasar demais com o conjuntinho mascavo nosso antimo terracota d deg,despedida
seu ddd qual seria,outros
ja tentei traas vezes sera que pode ser o tamanho,outros
quero saia verde M,buscar_produto_por_categoria
na o tenho nada da paula ferber a numeraa a o a c normal a forma,outros
me indica um shorts caramelo tamanho P?,pedido_sugestao
