ts,autor,texto,origem,label_regra,pred_label,pred_prob
2024-07-17 19:04:00.000,gabrielacamposcostabarbosa_1468528951212895,comprei um body e paguei frete de 7 dias úteis pra levar pra uma viagem agora na sexta,instagram_csv,prazo_entrega,prazo_entrega,0.729268190687687
2024-07-19 15:17:00.000,tiagorodrigues_17961513431788437,"oii, tudo bem??",instagram_csv,saudacao,saudacao,0.5512487368180652
2024-07-19 15:56:00.000,gabrielacamposcostabarbosa_1468528951212895,"não vou trocar , vou tentar reduzir o gancho",instagram_csv,troca_devolucao,troca_devolucao,0.6981391146821798
2024-08-04 13:04:00.000,marifleury_1341040303950108,acabei de comprar um conjunto. se não servir posso trocar? pelo seu cep deve ser perto da minha casa. o meu 04531-020,instagram_csv,troca_devolucao,troca_devolucao,0.690343012632582
2024-08-05 14:13:00.000,mariaangelicamonteiro_1478766313518715,"boa tarde! na página da regata podrinha cinza eu não consigo ver as medidas dos tamanhos acima do g, que são justamente o que visto. poderia me enviar essas medidas dos tamanhos gg e xgg, por favor?",instagram_csv,erro_plataforma,erro_plataforma,0.7867737825552757
2024-08-06 18:12:00.000,danycavalcanti_1481723446558270,gostaria de saber o tamanho da cintura dessa calça no tamanho m,instagram_csv,duvida_tamanho,duvida_tamanho,0.6745961664499062
2024-08-07 16:29:00.000,danycavalcanti_1481723446558270,mto obrigada msm,instagram_csv,agradecimento,agradecimento,0.5522201546543287
2024-08-08 09:28:00.000,danycavalcanti_1481723446558270,"caso não fique com, como funciona a troca?",instagram_csv,troca_devolucao,troca_devolucao,0.7260540364700533
2024-08-28 07:07:00.000,danycavalcanti_1481723446558270,vc consegue rastrear o meu pedido?,instagram_csv,prazo_entrega,prazo_entrega,0.7419258721042719
2024-08-28 15:12:00.000,danycavalcanti_1481723446558270,"mas, ficou grande😫",instagram_csv,troca_devolucao,troca_devolucao,0.6460549949739051
2024-08-28 15:13:00.000,danycavalcanti_1481723446558270,como é o processo da troca?,instagram_csv,troca_devolucao,troca_devolucao,0.7345097358968462
2024-09-01 14:59:00.000,karikotake_1545434526851760,tem cupom de desconto primeira compra?,instagram_csv,preco_pagamento,preco_pagamento,0.8194454609555961
2024-09-04 17:55:00.000,julianacardoso_1540901883968951,muito obrigada,instagram_csv,agradecimento,agradecimento,0.634944850898059
2024-09-05 14:18:00.000,danycavalcanti_1481723446558270,"sobre a troca da calça que comprei (quero trocar por um tamanho menor). recebi um e-mail de vcs no dia 29/08/24 , respondi mas, dps disso não tive mais retorno",instagram_csv,troca_devolucao,troca_devolucao,0.7288157016059331
2024-09-05 16:36:00.000,amandaoliveira_1472616584131311,olá! por favor vcs tem desconto para a primeira compra? obrigada!,instagram_csv,preco_pagamento,preco_pagamento,0.7790201501269369
2024-09-05 17:33:00.000,danycavalcanti_1481723446558270,mto obrigada pelo retorno,instagram_csv,agradecimento,agradecimento,0.6820221752985913
2024-09-06 10:58:00.000,danycavalcanti_1481723446558270,mto obrigada msm,instagram_csv,agradecimento,agradecimento,0.5522201546543287
2024-09-13 10:39:00.000,evelyncanalli_1503393347725067,obrigada pelo retorno,instagram_csv,agradecimento,agradecimento,0.7303459763277294
