cluster,texto
0,obrigada pela presenca stella
0,obrigada pela presenca silvia
0,obrigada pela presenca
0,muito obrigada pela atencao
0,obrigada pela presena a a i a i
0,enviado obrigada ata c segunda
1,essa modelagem é mais enxuta? o camisa de viscose veste grande?
1,tem tabela de medidas do vestido midi?
1,fiz uma compra de um casaco com vcs e nao vestiu bem gostaria de trocar por uma calca fresquinha tamanho m
1,veste pequeno ou grande? queria o saia plissada em GG
1,quero camisa preto 46
1,aindda tem calça alfaiataria em G?
2,consiggo falar com atendente?
2,"veioo com defeito, como faço a devolução?"
2,a jaqueta branca uma pena eu nao conseguir comprar por problemas tecnicos uma experiencia de consumidor mto ruim
2,"não serviu, consigo troocar?"
2,é algodão? encolhe? comoo lavar?
2,pagamentoo recusado toda hora
3,ela a c reta e certa acredito que o tamanho m funcione bem para vocaa o tecido da base a c mais malea vel que da parte de cima
3,posso trocar caso eu experimente e prefira uma maior
3,pergunta a regata pregas jersey precisa passar resposta modelagem e tecido
3,"tenho 92cm de busto e 118cm de quadril, qual tamanho do body canelado vc indica?"
3,uso M na parte de cima; o blazer linho serviria?
3,ja tentei traas vezes sera que pode ser o tamanho
4,"sou 42, às vezes pego M; o saia plissada segue a tabela certinha?"
4,tem blazer preto no 40?
4,tem jaqueta preto no 44?
4,tem shorts preto no 44?
4,quero jaqueta preto 36
4,uso 46 na parte de cima; o body canelado serviria?
5,somos uma produtora de a udio visual e achamos que seria interessante apresentar o nosso trabalho e portifa <num> lio
5,ola karyna boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo voce demonstrou interesse nos sapatos da bia que apareceram em um dos nossos reels agora eles estao disponiveis no site do curadobia segue o link <url> obrigada por nos acompanhar karyna qualquer duvida estamos a disposicao equipe curadobia
5,oi as compras sa o direto no site
5,quero comprar mas preciso saber se ela calca certinho o numero do calco o numero <num> devo comprar o mesmo
5,tem loja física/enderreço?
5,pensamos que poderia ser a senha criada mas quando ocorre algum ponto nesse aspecto surge uma mensagem abaixo voce se importaria em tentar novamente apenas para checarmos se continua ocorrendo o mesmo erro
6,cadê o rastreamento do #5536?
6,cadê o rastreamento do #3909?
6,"meu pedido #5408 não atualiza, pode ver?"
6,cadê o rastreamento do #6730?
6,cadê o rastreamento do #3222?
6,"meu pedido #5076 não atuualiza, pode ver?"
7,tem calça alfaiataria verde 40?
7,tem saia verde no GG?
7,tem vestido verde tamanho G?
7,tem body verde tamanho P?
7,tem blazer verde no 40?
7,tem jaqueta verde no 40?
8,que calca maravilhosa
8,boa tarde fabiana como vai passando para avisar que as blusas acabaram de ser repostas no site estoque
8,pergunta a saia tech vai bem com bota resposta combinacoes e ocasioes
8,boa tarde a jaqueta off da nauanim voltou
8,na verdade eu ja assisti ao video do casaco no site curadobia varias vezes para tentar chegar a essa conclusao mas nao consegui
8,que maximo marca a gente nos seus looks muito feliz que esta curtindo a selecao de pecas logo mais teremos muitas novidades bacanas
9,"quero um look casual para trabalho, uso 36"
9,"quero um look minimalista para jantar, uso PP"
9,"quero um look minimalista para trabalho, uso 36"
9,"quero uum look minimalista para trabalho, uso 36"
9,"quero um look minimalista para trabalho, uso GG"
9,"quero um look moderno para trabalho, uso 38"
10,conjuntinho
10,deixa
10,d d d
10,procuro
10,coisa
10,necessarias
11,tem vestido preto no 36?
11,tem vestido preto tamanho 36?
11,tem vestido preto no P?
11,tem saia preto tamanho 36?
11,qual camisa combina com body canelado em preto?
11,me indica um saia preto tamanho 46?
12,chega quando no 01255-022?
12,"prazo pro meu cep 04012-000, chega até 3 dias úteis?"
12,"prazo proo meu cep 06030-050, chega até sexta?"
12,valor do frete pro 04567-010?
12,"prazo pro meu cep 04012-000, chega até essa semana?"
12,"prazo pro meu cep 01455-022, chega até amanhã?"
13,quero saia verde M
13,quero saia verde 36
13,quero jaqueta verde G
13,quero saia verde 42
13,quero vestido verde 46
13,quero camisa verde PP
