texto,label_true,intent_raw,conf,gap,intent_pred
perfeito,agradecimento,nao_entendi,0.684656799426739,0.5369174214110357,nao_entendi
Perfeito,agradecimento,nao_entendi,0.640437177495245,0.46629355973099396,nao_entendi
que calça maravilhosa,agradecimento,nao_entendi,0.628277414116,0.2886006032271299,nao_entendi
perfeito! fico no aguardo! abraço,agradecimento,nao_entendi,0.6115293634629188,0.41997525216781184,nao_entendi
Que calça maravilhosa,agradecimento,nao_entendi,0.5922749080690823,0.2188309587067812,nao_entendi
nossa . perfeito,agradecimento,nao_entendi,0.5828833074656384,0.20460556285157205,nao_entendi
lindo o evento! amei,agradecimento,nao_entendi,0.5120448038931092,0.2878508521004446,nao_entendi
"Perfeito, Ana. Obrigada pelo retorno. 😊",agradecimento,saudacao,0.510423833217765,0.03562791657956155,outros
"Muito obrigada, elas entraram em contato comigo. Realmente a sandália é linda , mas infelizmente fico um pouco fora $$$ pra mim !",agradecimento,saudacao,0.49701070662650987,0.061548405008500395,outros
Lindo o evento! Amei,agradecimento,saudacao,0.4917741669943491,0.16556225287392212,outros
Perfeito! Fico no aguardo! Abraço,agradecimento,nao_entendi,0.48630051962224524,0.14078164532375614,outros
Nossa . Perfeito,agradecimento,nao_entendi,0.48462863480041857,0.09515514623408683,outros
obrigada. no aguardo que seja disponibilizado o envio.,agradecimento,agradecimento,0.4800831087602216,0.2989252843410722,outros
Obrigada Ana!!,agradecimento,saudacao,0.47963190789112903,0.05882015117896422,outros
"Obrigada pelo retorno, as peças são incríveis! É que me apaixonei por essa calça, então foi ela que me prendeu o olhar! 😉☺️",agradecimento,saudacao,0.4569025886916512,0.13042029823514617,outros
experimentei essa jaqueta. maravilhosa,agradecimento,nao_entendi,0.4390793386926086,0.10464325399691637,outros
que legal! vai ajudar muito!,agradecimento,agradecimento,0.4306252208890054,0.1544652603019419,outros
Bia! Esse seu Curadobia está um arraso! Muito tentador. Parabéns pelo projeto. Uma dúvida: qual a sua altura? Estou interessadíssima nessa calça mas sou baixa (160cm) e geralmente tenho que fazer a barras das calças - o que não é muito fácil com essa… 😅 Obrigada,agradecimento,saudacao,0.4225023246635587,0.12225077502858017,outros
"obrigada pelo retorno, as peças são incríveis! é que me apaixonei por essa calça, então foi ela que me prendeu o olhar! 😉☺️",agradecimento,saudacao,0.42070192724942784,0.06684989850011369,outros
"obrigada pelo retorno! namoro o modelo gladiador, me lembro dele, mas quando fui procurar, já não tinha mais 😐",agradecimento,agradecimento,0.40058506776707675,0.15790611624549705,outros
Experimentei essa jaqueta. Maravilhosa,agradecimento,nao_entendi,0.39323875300075467,0.12069037540137273,outros
Obrigada. No aguardo que seja disponibilizado o envio.,agradecimento,nao_entendi,0.3602649677029583,0.08243362540088983,outros
bia! esse seu curadobia está um arraso! muito tentador. parabéns pelo projeto. uma dúvida: qual a sua altura? estou interessadíssima nessa calça mas sou baixa (160cm) e geralmente tenho que fazer a barras das calças - o que não é muito fácil com essa… 😅 obrigada,agradecimento,tamanho_modelagem,0.33837965180057283,0.023385456129959847,outros
"Obrigada pelo retorno! Namoro o modelo gladiador, me lembro dele, mas quando fui procurar, já não tinha mais 😐",agradecimento,agradecimento,0.31716458384279106,0.016280492889843567,outros
conseguem me ajudar por aqui?,agradecimento,saudacao,0.7619030484679953,0.6039114385977803,saudacao
Conseguem me ajudar por aqui?,agradecimento,saudacao,0.7615882323392608,0.6140494613705865,saudacao
De onde é esse Macacão maravilhoso!!! Amo ❤️,agradecimento,saudacao,0.6714851599037748,0.44784972883613416,saudacao
de onde é esse macacão maravilhoso!!! amo ❤️,agradecimento,saudacao,0.6354532114452525,0.38654692602492224,saudacao
Bem e vc Ana!! Muito obrigada,agradecimento,saudacao,0.5937130689569975,0.3157838633909034,saudacao
"muito obrigada, elas entraram em contato comigo. realmente a sandália é linda , mas infelizmente fico um pouco fora $$$ pra mim !",agradecimento,saudacao,0.5595937213188401,0.21742850333153013,saudacao
olá! tudo bem? tem cupom para 1a compra?,cupom_primeira,saudacao,0.9250325407749717,0.9027198896476157,saudacao
Olá! Tudo bem? Tem cupom para 1a compra?,cupom_primeira,saudacao,0.9075867976736803,0.8765870644266058,saudacao
beijos,despedida,nao_entendi,0.9418855500644193,0.9194198701354778,nao_entendi
Beijos,despedida,nao_entendi,0.9180884748890342,0.8718855496174283,nao_entendi
Até agora nada!,despedida,nao_entendi,0.7997480932059094,0.63894578760689,nao_entendi
até agora nada!,despedida,nao_entendi,0.7732435374851206,0.5890633701741413,nao_entendi
no e-mail da nota fiscal não tem nada,disponibilidade,formas_pagamento,0.533314352208146,0.11425754087461693,formas_pagamento
No e-mail da nota fiscal não tem nada,disponibilidade,formas_pagamento,0.5277672707222524,0.1084176684794384,formas_pagamento
e tem ela preta?,disponibilidade,nao_entendi,0.8920766016418091,0.8432415499016158,nao_entendi
E tem ela preta?,disponibilidade,nao_entendi,0.8808161903734334,0.8209767311188634,nao_entendi
eu amei a blusa branca tcharam 🥰,disponibilidade,nao_entendi,0.7747335389089841,0.7003930004463019,nao_entendi
Eu amei a blusa branca Tcharam 🥰,disponibilidade,nao_entendi,0.7407269750441369,0.6553892991170572,nao_entendi
eu comprei a calça pantalona branca no dia 13/08,disponibilidade,nao_entendi,0.6883908874798877,0.49219824603817997,nao_entendi
Eu comprei a calça pantalona branca no dia 13/08,disponibilidade,nao_entendi,0.6621564090530517,0.5036437105067528,nao_entendi
"oiee tudo bem? amei a bota, tem curadoria dela? bjos",disponibilidade,nao_entendi,0.5755913004694605,0.3637791698807106,nao_entendi
"Bom dia tudo bem? Então eu tenho mito daqueles vestidos , com estampas, e alguns até são estampas geométricas e todas as opções possíveis . Como posso fazer que não fiquem parecendo quando usar aquelas roupas que não tem nada haver comigo . Eu estou em uma fase de camisa, calça jeans bem moderna . E roupas mais discretas . Mas é esses vestido como usar ?",disponibilidade,nao_entendi,0.5749269613953111,0.2411418303920107,nao_entendi
"Não gosto de nada apertado, mas essa blusa tem um Shane mais ajustado. Daí fiquei na dúvida.",disponibilidade,nao_entendi,0.5679540416473151,0.24615697823932137,nao_entendi
"Oiee tudo bem? Amei a bota, tem curadoria dela? Bjos",disponibilidade,nao_entendi,0.5243807550933325,0.20903515688273488,nao_entendi
"bom dia tudo bem? então eu tenho mito daqueles vestidos , com estampas, e alguns até são estampas geométricas e todas as opções possíveis . como posso fazer que não fiquem parecendo quando usar aquelas roupas que não tem nada haver comigo . eu estou em uma fase de camisa, calça jeans bem moderna . e roupas mais discretas . mas é esses vestido como usar ?",disponibilidade,nao_entendi,0.5134795570400471,0.11457106376374371,nao_entendi
Vai ter reposição dessa calça?,disponibilidade,nao_entendi,0.507047146788118,0.14000711049547976,nao_entendi
"Oiii boa tarde , Me chamo Talita e sou figurinista na emissora CNBC @cnbc licenciada pela @otimesbrasil , uma emissora nova que transmite jornalismo de negócios e é lider mundial no seu segmento. Temos no nosso elenco grandes nomes do jornalismo incluido Carol Barcellos , Rita Wu, Erica Reis , Christiane Pelajo , Zeca Camargo, Natalia Ariade estou apenas dando um exemplo do time de peso que faz parte da emissora. As meninas são a cara da marca, elas postam , marcam o @, tem o manequim otimo e sao mega fotogênicas. Podemos alinhar a produção , me ajudem rs vai ser uma parceria incrivel ! um beijo e aguardo retorno",disponibilidade,saudacao,0.5147461525888999,0.08181000385744203,outros
vai ter reposição dessa calça?,disponibilidade,nao_entendi,0.4953886199196804,0.12174199131524238,outros
em março eu vou produzir reposição e cores novas de tudo,disponibilidade,saudacao,0.4739688936084903,0.09013903713988253,outros
Em março eu vou produzir reposição e cores novas de tudo,disponibilidade,saudacao,0.47250878272318375,0.0929071695094636,outros
volta pro estoque?,disponibilidade,nao_entendi,0.47198162369616115,0.026354000171523284,outros
Bia! Será que a tshirt Angela Motta branca com uma manga bafônica vai ter amanhã? Preciso dela,disponibilidade,nao_entendi,0.46628985725005795,0.03997004229768819,outros
Não tem um link de comunicação no WhatsApp,disponibilidade,nao_entendi,0.45829943714975513,0.17672524436095516,outros
eu amei a que tem a ponta. duvida. tem que ter tornozelo fino? obrigada,disponibilidade,agradecimento,0.4578774138500059,0.11056507409977184,outros
"não gosto de nada apertado, mas essa blusa tem um shane mais ajustado. daí fiquei na dúvida.",disponibilidade,tamanho_modelagem,0.43914263217471117,0.020534779287810168,outros
Eu amei a que tem a ponta. Duvida. Tem que ter tornozelo fino? Obrigada,disponibilidade,nao_entendi,0.4064270248078132,0.07888058475133136,outros
"olá! primeiramente quero dizer que a curadobia está fantástica! vi que vários produtos estão indisponíveis no site, como a blusa pah e phyna por exemplo tem alguma previsão de retorno ao estoque?",disponibilidade,erros_plataforma,0.4062362021452801,0.06761815783503944,outros
não tem um link de comunicação no whatsapp,disponibilidade,nao_entendi,0.40340429893197155,0.12096070395053293,outros
"oi pessoal! tudo bem? acredito que essa calça tenha esgotado, certo? vai ter reposição dela? aguardo retorno! obrigada, milene",disponibilidade,saudacao,0.40033232612719294,0.009288434340889384,outros
"a jaqueta branca. uma pena eu não conseguir comprar por problemas técnicos, uma experiência de consumidor mto ruim",disponibilidade,erros_plataforma,0.34424240470068357,0.07365075104931279,outros
"A jaqueta branca. Uma pena eu não conseguir comprar por problemas técnicos, uma experiência de consumidor mto ruim",disponibilidade,erros_plataforma,0.3180340627693368,0.05802325768235195,outros
"ola bia sou a daniela e gostaria de apresentar minha marca pra vc, a queens gate. minha sócia e eu já te acompanhamos tem um bom tempo e somos muito fãs! a sua curadoria com seus ""neutros com tcharanz"" reforçou a vontade de apresentar o conceito da nossa marca pra vc. vamos completar 1 ano em agosto e adoraríamos um bate papo com vc pra contar nossa história e nossos planos. moro em londres e minha sócia em sp e vou deixar meu whatsapp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha 😉 obrigada ! +1(917)868-9790",disponibilidade,saudacao,0.8798725993533644,0.7962978803674445,saudacao
"boa tarde, pessoal! tudo bem? estava namorando um macacão verde no site da marca d-aura, porém não localizei mais 😕. saiu de coleção? não terá reposição? aguardo. obrigada milene",disponibilidade,saudacao,0.8280115292842152,0.7532977622284074,saudacao
"Ola Bia sou a Daniela e gostaria de apresentar minha marca pra vc, a Queens Gate. Minha sócia e eu já te acompanhamos tem um bom tempo e somos muito fãs! A sua curadoria com seus ""neutros com tcharanz"" reforçou a vontade de apresentar o conceito da nossa marca pra vc. Vamos completar 1 ano em agosto e adoraríamos um bate papo com vc pra contar nossa história e nossos planos. Moro em Londres e minha sócia em SP e vou deixar meu WhatsApp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha 😉 Obrigada ! +1(917)868-9790",disponibilidade,saudacao,0.8203682731159438,0.6935053672307021,saudacao
"Oi Time da Curadobia tudo bem? Sou Joana, sigo o perfil e amo! Tem uma calça que vi numa propaganda, que me apaixonei, mas não encontrei no site. Queria saber de onde ela é, por favor. Se puderem, vocês me contam? Super obrigada! Bj",disponibilidade,saudacao,0.7670220229068659,0.6070528652021184,saudacao
"Boa tarde, pessoal! Tudo bem? Estava namorando um macacão verde no site da marca D-aura, porém não localizei mais 😕. Saiu de coleção? Não terá reposição? Aguardo. Obrigada Milene",disponibilidade,saudacao,0.7454094332218332,0.6141862236987078,saudacao
"bom dia! sou a gianina marques, mineira, mãe e autora de joias artesanais. gostaria de deixar meu insta para vcs conhecerem minhas joias feita com carinho e totalmente exclusiva. aguardo o retorno de vcs q tem tanto conhecimento na área. desde já obrigada! @gianinamarques",disponibilidade,saudacao,0.7370033633472173,0.6094458888018374,saudacao
