ts,autor,texto,origem,label_regra,pred_label,pred_prob
,,de todo modo agradeco por perguntar,raw,outros,outros,0.6986582248755414
,,agradeco o feedback,raw,outros,outros,0.6534746589625945
,,tem body preto tamanho 40?,synthetic,duvida_tamanho,duvida_tamanho,0.8775038310992815
,,tem vestido verde tamanho 38?,synthetic,duvida_tamanho,duvida_tamanho,0.8760146362500134
,,tem blazer verde tamanho 42?,synthetic,duvida_tamanho,duvida_tamanho,0.877159490319341
,,tem jaqueta preto tamanho 40?,synthetic,duvida_tamanho,duvida_tamanho,0.8722863902953689
,,tem body preto tamanho 46?,raw,duvida_tamanho,duvida_tamanho,0.8775038310992815
,,quero vestido verde 44,raw,duvida_tamanho,duvida_tamanho,0.8387503678512305
,,tem camisa preto tamanho 42?,raw,duvida_tamanho,duvida_tamanho,0.8709714058795217
,,quero vestido verde 42,raw,duvida_tamanho,duvida_tamanho,0.8387503678512305
,,tem body verde tamanho P?,raw,duvida_tamanho,duvida_tamanho,0.8789839547538956
,,tem body verde tamanho 40?,raw,duvida_tamanho,duvida_tamanho,0.8789839547538956
,,tem camisa verde tamanho GG?,raw,duvida_tamanho,duvida_tamanho,0.8663445325382917
,,tem vestido verde tamanho 44?,raw,duvida_tamanho,duvida_tamanho,0.8760146362500134
,,tem blazer verde tamanho G?,synthetic,duvida_tamanho,duvida_tamanho,0.877159490319341
,,tem vestido preto tamanho 46?,synthetic,duvida_tamanho,duvida_tamanho,0.8750056751988575
,,quero camisa preto 46,raw,duvida_tamanho,duvida_tamanho,0.8393439465803267
,,quero saia verde M,raw,duvida_tamanho,duvida_tamanho,0.8412821689057879
,,quero saia verde P,raw,duvida_tamanho,duvida_tamanho,0.8412821689057879
,,quero saia verde 36,raw,duvida_tamanho,duvida_tamanho,0.8412821689057879
,,tem camisa verde tamanho 44?,raw,duvida_tamanho,duvida_tamanho,0.8751354575168874
,,tem blazer verde tamanho M?,raw,duvida_tamanho,duvida_tamanho,0.877159490319341
,,tem blazer preto tamanho 38?,raw,duvida_tamanho,duvida_tamanho,0.875822638165911
,,tem camisa preto tamanho 38?,synthetic,duvida_tamanho,duvida_tamanho,0.8709714058795217
,,quero jaqueta preto GG,raw,duvida_tamanho,duvida_tamanho,0.8460992354489866
,,quero jaqueta verde 42,raw,duvida_tamanho,duvida_tamanho,0.8407889263374155
,,quero blazer preto M,raw,duvida_tamanho,duvida_tamanho,0.8405989776513307
,,tem vestido preto tamanho G?,raw,duvida_tamanho,duvida_tamanho,0.8750056751988575
,,tem camisa verde tamanho M?,raw,duvida_tamanho,duvida_tamanho,0.8751354575168874
,,quero camisa preto P,raw,duvida_tamanho,duvida_tamanho,0.8393439465803267
,,tem body preto tamanho 42?,raw,duvida_tamanho,duvida_tamanho,0.8775038310992815
,,quero jaqueta preto P,raw,duvida_tamanho,duvida_tamanho,0.8391751492700715
,,quero vestido preto 46,raw,duvida_tamanho,duvida_tamanho,0.8398603328309783
,,quero jaqueta preto G,raw,duvida_tamanho,duvida_tamanho,0.8391751492700715
,,tem vestido verde tamanho PP?,raw,duvida_tamanho,duvida_tamanho,0.8600053031281268
,,quero jaqueta verde 46,raw,duvida_tamanho,duvida_tamanho,0.8407889263374155
,,quero camisa preto 42,raw,duvida_tamanho,duvida_tamanho,0.8393439465803267
,,tem saia preto tamanho 40?,raw,duvida_tamanho,duvida_tamanho,0.8749127601046292
,,quero vestido preto PP,raw,duvida_tamanho,duvida_tamanho,0.8385385747732892
,,tem blazer preto tamanho G?,raw,duvida_tamanho,duvida_tamanho,0.875822638165911
,,tem body preto tamanho GG?,synthetic,duvida_tamanho,duvida_tamanho,0.8684424613260173
,,tem body preto tamanho P?,raw,duvida_tamanho,duvida_tamanho,0.8775038310992815
,,tem saia verde tamanho GG?,raw,duvida_tamanho,duvida_tamanho,0.8694204870629892
,,tem saia verde tamanho 46?,raw,duvida_tamanho,duvida_tamanho,0.8786537773137357
,,tem camisa verde tamanho G?,synthetic,duvida_tamanho,duvida_tamanho,0.8751354575168874
,,tem vestido verde tamanho P?,raw,duvida_tamanho,duvida_tamanho,0.8760146362500134
,,quero jaqueta preto 36,raw,duvida_tamanho,duvida_tamanho,0.8391751492700715
,,tem body preto tamanho 44?,raw,duvida_tamanho,duvida_tamanho,0.8775038310992815
,,quero vestido verde PP,raw,duvida_tamanho,duvida_tamanho,0.839970402535345
,,quero camisa verde P,raw,duvida_tamanho,duvida_tamanho,0.8423821285191287
,,quero jaqueta verde 44,raw,duvida_tamanho,duvida_tamanho,0.8407889263374155
,,tem body preto tamanho PP?,raw,duvida_tamanho,duvida_tamanho,0.8612141368998436
,,tem vestido verde tamanho G?,raw,duvida_tamanho,duvida_tamanho,0.8760146362500134
,,quero body preto M,raw,duvida_tamanho,duvida_tamanho,0.8461755959116053
,,tem camisa preto tamanho 46?,raw,duvida_tamanho,duvida_tamanho,0.8709714058795217
,,tem blazer preto tamanho 36?,synthetic,duvida_tamanho,duvida_tamanho,0.875822638165911
,,tem saia preto tamanho 36?,raw,duvida_tamanho,duvida_tamanho,0.8749127601046292
,,tem vestido preto tamanho 36?,raw,duvida_tamanho,duvida_tamanho,0.8750056751988575
,,quero vestido verde 40,raw,duvida_tamanho,duvida_tamanho,0.8387503678512305
,,quero blazer verde 46,raw,duvida_tamanho,duvida_tamanho,0.8407137607211508
,,tem vestido verde tamanho 36?,raw,duvida_tamanho,duvida_tamanho,0.8760146362500134
,,tem camisa verde tamanho 42?,raw,duvida_tamanho,duvida_tamanho,0.8751354575168874
,,quero body preto 36,raw,duvida_tamanho,duvida_tamanho,0.8461755959116053
,,quero blazer preto 42,raw,duvida_tamanho,duvida_tamanho,0.8405989776513307
,,tem body verde tamanho GG?,raw,duvida_tamanho,duvida_tamanho,0.8695344213957291
,,tem saia verde tamanho PP?,raw,duvida_tamanho,duvida_tamanho,0.8615360607388203
,,tem jaqueta verde tamanho P?,raw,duvida_tamanho,duvida_tamanho,0.8751274048325595
,,quero saia verde G,raw,duvida_tamanho,duvida_tamanho,0.8412821689057879
,,tem jaqueta preto tamanho P?,synthetic,duvida_tamanho,duvida_tamanho,0.8722863902953689
,,tem camisa verde tamanho 46?,synthetic,duvida_tamanho,duvida_tamanho,0.8751354575168874
,,quero camisa verde 40,raw,duvida_tamanho,duvida_tamanho,0.8423821285191287
,,quero jaqueta verde GG,raw,duvida_tamanho,duvida_tamanho,0.8465142770658798
,,quero camisa preto 40,raw,duvida_tamanho,duvida_tamanho,0.8393439465803267
,,quero camisa preto 44,raw,duvida_tamanho,duvida_tamanho,0.8393439465803267
,,tem camisa preto tamanho G?,raw,duvida_tamanho,duvida_tamanho,0.8709714058795217
,,tem saia preto tamanho M?,raw,duvida_tamanho,duvida_tamanho,0.8749127601046292
,,tem jaqueta verde tamanho GG?,raw,duvida_tamanho,duvida_tamanho,0.865843167505344
,,quero camisa preto PP,raw,duvida_tamanho,duvida_tamanho,0.8368368169746857
,,tem jaqueta preto tamanho PP?,raw,duvida_tamanho,duvida_tamanho,0.8563355121609277
,,quero saia preto P,raw,duvida_tamanho,duvida_tamanho,0.8401060559781616
,,quero blazer verde 38,raw,duvida_tamanho,duvida_tamanho,0.8407137607211508
,,tem vestido verde tamanho M?,raw,duvida_tamanho,duvida_tamanho,0.8760146362500134
,,tem vestido preto tamanho P?,raw,duvida_tamanho,duvida_tamanho,0.8750056751988575
,,quero jaqueta verde 40,raw,duvida_tamanho,duvida_tamanho,0.8407889263374155
,,quero body preto G,raw,duvida_tamanho,duvida_tamanho,0.8461755959116053
,,quero blazer preto G,raw,duvida_tamanho,duvida_tamanho,0.8405989776513307
,,quero saia verde 42,raw,duvida_tamanho,duvida_tamanho,0.8412821689057879
,,quero camisa verde 44,raw,duvida_tamanho,duvida_tamanho,0.8423821285191287
,,quero blazer verde 40,raw,duvida_tamanho,duvida_tamanho,0.8407137607211508
,,tem body verde tamanho 42?,raw,duvida_tamanho,duvida_tamanho,0.8789839547538956
,,tem camisa verde tamanho 36?,raw,duvida_tamanho,duvida_tamanho,0.8751354575168874
,,quero blazer verde G,raw,duvida_tamanho,duvida_tamanho,0.8407137607211508
