texto,cluster
consiggo falar com atendente?,2
"veioo com defeito, como faço a devolução?",2
que calca maravilhosa,8
a jaqueta branca uma pena eu nao conseguir comprar por problemas tecnicos uma experiencia de consumidor mto ruim,2
ela a c reta e certa acredito que o tamanho m funcione bem para vocaa o tecido da base a c mais malea vel que da parte de cima,3
conjuntinho,10
somos uma produtora de a udio visual e achamos que seria interessante apresentar o nosso trabalho e portifa <num> lio,5
essa modelagem é mais enxuta? o camisa de viscose veste grande?,1
boa tarde fabiana como vai passando para avisar que as blusas acabaram de ser repostas no site estoque,8
tem calça alfaiataria verde 40?,7
"sou 42, às vezes pego M; o saia plissada segue a tabela certinha?",4
tem tabela de medidas do vestido midi?,1
deixa,10
posso trocar caso eu experimente e prefira uma maior,3
d d d,10
fiz uma compra de um casaco com vcs e nao vestiu bem gostaria de trocar por uma calca fresquinha tamanho m,1
pergunta a regata pregas jersey precisa passar resposta modelagem e tecido,3
"tenho 92cm de busto e 118cm de quadril, qual tamanho do body canelado vc indica?",3
chega quando no 01255-022?,12
veste pequeno ou grande? queria o saia plissada em GG,1
obrigada pela presenca stella,0
"não serviu, consigo troocar?",2
tem vestido preto no 36?,11
ola karyna boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo voce demonstrou interesse nos sapatos da bia que apareceram em um dos nossos reels agora eles estao disponiveis no site do curadobia segue o link <url> obrigada por nos acompanhar karyna qualquer duvida estamos a disposicao equipe curadobia,5
pergunta a saia tech vai bem com bota resposta combinacoes e ocasioes,8
boa tarde a jaqueta off da nauanim voltou,8
na verdade eu ja assisti ao video do casaco no site curadobia varias vezes para tentar chegar a essa conclusao mas nao consegui,8
tem blazer preto no 40?,4
"prazo pro meu cep 04012-000, chega até 3 dias úteis?",12
tem vestido preto tamanho 36?,11
"prazo proo meu cep 06030-050, chega até sexta?",12
procuro,10
que maximo marca a gente nos seus looks muito feliz que esta curtindo a selecao de pecas logo mais teremos muitas novidades bacanas,8
e o body me chega hoje,8
tem saia verde no GG?,7
