intencao,top_termos
agradecimento,"retorno, muito, ok, mto, perfeito, legal, maravilhosa, beijinhos, enviarei, tranquilo"
disponibilidade,"preta, reposição, branca, estoque, vai, pro, pro estoque, vai reposição, calça, amei"
duvida_tamanho,"tamanho, medidas, numeração, quadril, outras, calça, visto, ficou enorme, ficou, arrumadona"
erro_plataforma,"consigo, seguinte, consigo deixá, deixá, deste jeito, deste, deixá deste, jeito, medidas tamanhos, ola tentando"
onde_comprar,"whatsapp, comprar, onde loja, este whatsapp, loja, falar, este, mail whatsapp, onde, governo"
outros,"reagiu, joia, maravilha, linda, chegou, endereço, ainda, adorei, pode, fechado"
pedido_sugestao,"looks, peças, percebo, muito looks, percebo ha, ha muito, looks percebo, jogo, jogo volumes, muito jogo"
prazo_entrega,"rastrear, entrega, previsão entrega, previsão, frete, dias, rastrear compra, poderia rastrear, consegue rastrear, rastrear pedido"
preco_pagamento,"preço, desconto primeira, primeira compra, primeira, desconto, quanto custa, custa, quanto, cartão, compra"
saudacao,"ola, oie, oii, oiee, oieee, bem, beleza, fiz, estava, oii bem"
troca_devolucao,"troca, trocar, ficou grande, ficou, grande, proceder, processo troca, caso, processo, proceder troca"
