texto,intent_true,intent_pred
😍,outros,nao_entendi
😍 body mybasic,outros,outros
"oi bia, tudo bem? adorei a @curadabia, (o nome ficou demais), e claro ja fui olhar as peças! não localizei tabela de medidas! porem, pelo tamanho das peças que vc veste o g provavelmente não vai caber em mim! uso 46/48, a depender da confecção! pense com carinho em fazer uma curadoria para tamanhos normais! desejo muito sucesso nessa nova empreitada! que deus te abençoe! bjos!",duvida_tamanho,tamanho_modelagem
https://www.instagram.com/_nata.oficial?igsh=n204dxp5bzn6azbz,onde_comprar,nao_entendi
obrigada! beijinhos,agradecimento,agradecimento
olá,saudacao,saudacao
como falo com alguém daí,outros,nao_entendi
comprei um body e paguei frete de 7 dias úteis pra levar pra uma viagem agora na sexta,prazo_entrega,outros
mas a peça ainda não chegou,outros,nao_entendi
era pra ter chegado ontem,outros,nao_entendi
com quem falo b,outros,nao_entendi
???,outros,nao_entendi
"oii, tudo bem??",saudacao,saudacao
chegou,outros,nao_entendi
mas paguei por uma coisa que não recebi,outros,nao_entendi
então era pra ter pago menos a meu ver,outros,nao_entendi
e achei muito difícil o contato com vcs,outros,nao_entendi
não tem um link de comunicação no whatsapp,disponibilidade,outros
no e-mail da nota fiscal não tem nada,disponibilidade,outros
precisei escrever em uma postagem,outros,nao_entendi
"enfim , por muito pouco não me atende",outros,nao_entendi
paguei sedex porque estou indo hoje pra londres e queria levar o body,outros,nao_entendi
e o body me chega hoje,outros,nao_entendi
muito tenso,outros,nao_entendi
por muito pouco a minha frustração seria ainda maior,outros,nao_entendi
"o produto é lindo , apesar de ter ficando um pouco grande",outros,outros
mas a experiência de compra não foi legal,outros,nao_entendi
tudo bem também!!,outros,nao_entendi
"somos uma produtora de áudio visual, e achamos que seria interessante apresentar o nosso trabalho e portifólio!",outros,outros
você poderia me passar o contato dos responsáveis?!,outros,nao_entendi
"de todo modo , agradeço por perguntar",outros,agradecimento
tudo bem,outros,outros
"não vou trocar , vou tentar reduzir o gancho",troca_devolucao,outros
muito obrigada!! tenham um bom fim de semana!,agradecimento,agradecimento
ebaaaaa,outros,nao_entendi
