ts,autor,texto,origem,label_regra,pred_label,pred_prob,margin
,,oii karinne tudo bem aqui quem fala a c a ana do time curadobia vocaa acredita que estive olhando todos os dias desde que vocaa demonstrou interesse se a nossa saia anica voltaria ao estoque e somente hoje isso aconteceu ela a c a queridinha das nossas clientes e tem acabado ra pido enta o espero que consiga aproveitar essa oportunidade te encaminho o link para o acesso dela,raw,disponibilidade,disponibilidade,0.27682729147333296,0.0020796944221489477
,,boa noite havera reposicao da saia unica preta no tamanho <num>,raw,duvida_tamanho,disponibilidade,0.21011522031168262,0.002183493691596483
,,visto g qual tamanho seria quais cores tem tem a cala a tb,raw,duvida_tamanho,outros,0.15669706498681735,0.00229295668060564
,,ola bom dia sou muito fa da bia mas nunca comprei no curadoria uma duvida como faco para escolher um tamanho com mais seguranca tem uma tabela de medidas para servir de referencia obrigada,raw,duvida_tamanho,agradecimento,0.13746858490545052,0.003278153605692946
,,fui olhar para comprar o tamanho <num> dessa calca porem a largura da cintura e do quadril eh a mesma <num>,raw,duvida_tamanho,disponibilidade,0.18302272892005542,0.004718393879952376
,,karyna bom dia tudo bem desculpe a demora para o esclarecimento da duvida como somos um marketolace trabalhamos com marcas unicas e diferentes como cada uma tem a sua producao optamos por entrar em contato com a marca parceira da calca ontem para confirmar sua duvida e te responder da melhor maneira possivel a marca nos confirmou que as medidas do tamanho <num> estao corretas com a cintura e o quadril com a mesma medida mesmo isso ocorre pois como e uma peca produzida com elastico na cintura ele acaba ficando na mesma medida do quadril se adequando ao formato do corpo que a usa a unica correcao que ja aproveitamos para fazer que a marca tambem nos informou foi que o tamanho <num> fa calca tambem deveria estar com a mesma medida na cintura e no quadril <num> cm pelo mesmo motivo ja vamos corrigir isso no site qualquer outra questao estamos a disposicao karyna,raw,duvida_tamanho,duvida_tamanho,0.1331808490992684,0.004828751803738762
,,oi talita muito bom receber sua mensagem agradecemos demais o contato e que bacana vocaas terem pensado na gente pora c m nesse momento na <num> s na o estamos trabalhando com produa a o de qualquer forma salvamos o teu contato para futuras oportunidades atenciosamente equipe curadobiad,raw,duvida_tamanho,agradecimento,0.13999692925763066,0.007697901053758172
,,tudo bem bia gostaria muito de saber se nesta sua plataforma vc assiste aos clientes em encontrar produtos lojas etc,raw,outros,outros,0.19634751956419103,0.008061520984617626
,,essa sandalia calca certo calco <num> sera que preciso comprar <num>,raw,outros,outros,0.18054884487689743,0.009021168480443487
,,oi bia tudo bem adorei a <user> o nome ficou demais e claro ja fui olhar as pecas nao localizei tabela de medidas porem pelo tamanho das pecas que vc veste o g provavelmente nao vai caber em mim uso <num> <num> a depender da confeccao pense com carinho em fazer uma curadoria para tamanhos normais desejo muito sucesso nessa nova empreitada que deus te abencoe bjos,raw,duvida_tamanho,saudacao,0.13567020566139504,0.012176291385890436
,,visto g qual tamanho seria quais cores tem tem a calca tb,raw,duvida_tamanho,outros,0.17068581074933445,0.01229678355320915
,,deu certo sim obrigada,raw,agradecimento,outros,0.20399134646980294,0.012605900818581123
,,oii comprei a bico fino o dedo fica um pouquinho de lado pra fora ne mas super confortavel,raw,duvida_tamanho,outros,0.15499663478858824,0.012952526894589839
,,muito estilo,raw,outros,agradecimento,0.23845582144130187,0.013869076665940616
,,como uma cratica construtiva vcs deveriam mandar um e mail para confirmar o pedido compro bastante on line e sempre vem o e mail do status do pedido o cliente fica mais seguro da compra,raw,duvida_tamanho,outros,0.14078431941932285,0.014992797125791102
,,como uma critica construtiva vcs deveriam mandar um e mail para confirmar o pedido compro bastante on line e sempre vem o e mail do status do pedido o cliente fica mais seguro da compra,raw,duvida_tamanho,outros,0.14078431941932285,0.014992797125791102
,,seguem as medidas p cos <num> cm e veste quadril ate <num> cm m cos <num> cm e veste um quadril ate <num> cm g cos <num> cm e veste um quadril ate <num> cm,raw,duvida_tamanho,agradecimento,0.15032996327025172,0.015438040084412047
,,ola como tirar duvidas de tamanho da peca,raw,duvida_tamanho,saudacao,0.17507409171849536,0.016133167254334363
,,bom dia gostei da calca vai ter no site obrigada,raw,saudacao,saudacao,0.23582407649664924,0.017564562580440063
,,obrigada por nos mandar e informar sobre essa situacao ja passamos para o nosso setor tecnico analisar essa situacao caso deseje podemos tirar duvidas e disponibilizar mais informacoes por aqui so nos solicitar estamos a disposicao para qualquer coisa,raw,agradecimento,agradecimento,0.1638439214718899,0.017892752966136183
,,boa tarde a jaqueta off da nauanim voltou,raw,saudacao,duvida_tamanho,0.2010155575016402,0.01834297732409232
,,sheila essa foi a tabela passada para nos pela marca estamos em contato com eles para ter exatamente a medida do quadril inclusive obrigada pela pergunta pois com ela vamos atualizar o nosso site mas podemos te adiantar que ele tem uma estrutura folgada no quadril entao acreditamos que ele vai dar certo para ti no tamanho <num> para te passar outra base nas fotos do produto no nosso site a bia esta vestindo o tamanho <num>,raw,duvida_tamanho,onde_comprar,0.15922204794841807,0.01888988962760682
,,o site esta passando por problemas,raw,outros,outros,0.2013317563191611,0.01919457376544137
,,bia tudo bem tenho uma festa bem legal e o traje e black and white pensei na blusa pah mas queria saber se o tecido fica vistoso e se voce recomenda alguma calca mais festa para combinar beijos julie,raw,duvida_tamanho,saudacao,0.15150106471221073,0.01949711359318973
,,colar,raw,outros,outros,0.17424705306584845,0.02004466838830793
,,procuro,raw,outros,outros,0.17424705306584845,0.02004466838830793
,,obrigada enviarei,raw,agradecimento,outros,0.17424705306584845,0.02004466838830793
,,mantem,raw,outros,outros,0.17424705306584845,0.02004466838830793
,,prateleira,raw,outros,outros,0.17424705306584845,0.02004466838830793
,,erros,raw,outros,outros,0.17424705306584845,0.02004466838830793
,,site,raw,outros,outros,0.17424705306584845,0.02004466838830793
,,bom dia,raw,saudacao,outros,0.17424705306584845,0.02004466838830793
,,obrigada ana,raw,agradecimento,outros,0.17424705306584845,0.02004466838830793
,,apoio,raw,outros,outros,0.17424705306584845,0.02004466838830793
,,oiee bom dia,raw,saudacao,outros,0.17424705306584845,0.02004466838830793
,,bom dia a obrigada dd>>,raw,saudacao,outros,0.17424705306584845,0.02004466838830793
,,molinho,raw,outros,outros,0.17424705306584845,0.02004466838830793
,,sim obrigada,raw,agradecimento,outros,0.17424705306584845,0.02004466838830793
,,obrigada beijinhos,raw,agradecimento,outros,0.17424705306584845,0.02004466838830793
,,descolado,raw,outros,outros,0.17424705306584845,0.02004466838830793
,,link compartilhado,raw,outros,outros,0.17424705306584845,0.02004466838830793
,,obg!!,raw,agradecimento,outros,0.17424705306584845,0.02004466838830793
,,obrigada,raw,agradecimento,outros,0.17424705306584845,0.02004466838830793
,,obrigada a i,raw,agradecimento,outros,0.17424705306584845,0.02004466838830793
,,ola bom dia roupas lindas aqui mas na o encontrei muitas opa aues de tamanhos maiores a isso mesmo tenho uma cliente que se enquadraria perfeita nesse estilo mais contempora neo mas a c um tamanho g gg <num> <num> poderiam me sugerir algumas opa aues,raw,duvida_tamanho,duvida_tamanho,0.1454783302310486,0.020129944456968613
,,seguem as medidas p ca <num> s <num> cm e veste quadril ata c <num> cm m ca <num> s <num> cm e veste um quadril ata c <num> cm g ca <num> s <num> cm e veste um quadril ata c <num> cm,raw,duvida_tamanho,prazo_entrega,0.1421980880423838,0.02058317627864427
,,oii comprei a bico fino o dedo fica um pouquinho de lado pra fora na c mas super conforta vel,raw,duvida_tamanho,outros,0.15435873925472457,0.021979397988443033
,,ola bom dia sheila tudo bem que bom que gostou do nosso macacao cool nos temos ele nos tamanhos <num> <num> <num> e <num> vou te encaminhar o link dele para que possa visualizar no nosso site <url>,raw,duvida_tamanho,onde_comprar,0.162153536728626,0.022390156120310784
,,milene perguntamos para a bia e ela te indicou comprar o tamanho <num> dessa jaqueta por voce nao estar acostumada a roupas oversized o que acha,raw,duvida_tamanho,duvida_tamanho,0.15979303867977673,0.025298886658519565
,,oi mari boa tarde ah que a <num> timo combinado enta o fico muito feliz que o conjunto tenha ficado bacana conta com a gente para o que precisar grande abraa o aproveite o final de semana torcendo para baixar um pouco a temperatura d,raw,saudacao,saudacao,0.19089459041823922,0.025458597327299604
,,oi daniela que bacana muito obrigada por acompanharem e curtirem meu trabalho,raw,saudacao,agradecimento,0.20603306304112776,0.02691178884214579
,,ola emilia boa noite tudo bem agradecemos demais o feedback e pode ter certeza que uma das preocupaa aues que estamos tendo a c seguir na busca por marcas que tragam opa aues e grades que representam o maior naomero de corpos possavel sobre a tabela de medida estamos buscando ajustar obrigada por nos informar e seguiremos aprimorando cada vez mais bjos d,raw,duvida_tamanho,saudacao,0.1581713353623885,0.028775652425880982
,,ola como tirar daovidas de tamanho da pea a,raw,duvida_tamanho,saudacao,0.18699348898410506,0.029469471405552033
,,milene perguntamos para a bia e ela te indicou comprar o tamanho <num> dessa jaqueta por vocaa na o estar acostumada a roupas oversized o que acha d,raw,duvida_tamanho,duvida_tamanho,0.16815105415462536,0.030381253138599018
,,oi sandra tudo bem passando aqui para te avisar que o jeans preto que vocaa se interessou no nosso reels um tempinho atra s esta disponavel d,raw,saudacao,saudacao,0.27144051250852314,0.03403986123251307
,,boa tarde estava previsto pra chegar hoje minha encomenda porem nada foi entregue,raw,saudacao,saudacao,0.21343604166142663,0.0352418217803831
,,camisa,raw,outros,duvida_tamanho,0.2576970296233019,0.036220162460840116
,,a calca ficou sobrando muito atras,raw,duvida_tamanho,agradecimento,0.2099944278712709,0.03651796115322581
,,oieee obrigada de verdade,raw,saudacao,saudacao,0.20095094453486917,0.03931511738873936
,,numero,raw,outros,onde_comprar,0.248479162826969,0.039709847959161576
,,bia tudo bem tenho uma festa bem legal e o traje a c black and white pensei na blusa pah mas queria saber se o tecido fica vistoso e se vocaa recomenda alguma cala a mais festa para combinar beijos julie,raw,duvida_tamanho,saudacao,0.1710630344486424,0.04306164218243527
,,ta a <num> timo obrigada,raw,agradecimento,agradecimento,0.1757131579736386,0.043093081617233686
,,oi pri esta o entrando muitas marcas incraveis novas no curadobia pora c m a oysho na o a c uma delasd,raw,duvida_tamanho,saudacao,0.18083662007202236,0.043695444144097234
,,tenho <num> <num> essa calca esta mais curta para mim mesmo te aconselho a comprar um tamanho pequeno,raw,duvida_tamanho,disponibilidade,0.18294504732864356,0.04741250689289231
,,que calca maravilhosa,raw,agradecimento,agradecimento,0.25031891717859484,0.050598336320134885
,,oie sa o lindas pora c m aquele modelo foi o que mais me agradou mas tranquilo super obrigada pela atena a o,raw,duvida_tamanho,agradecimento,0.18889464708849646,0.05107458324284314
,,temos ela ainda no tamanho <num> e <num>,raw,duvida_tamanho,duvida_tamanho,0.18596854398672588,0.05263890977226521
,,gostaria de saber o tamanho da cintura dessa calca no tamanho m,raw,duvida_tamanho,duvida_tamanho,0.23893775636174347,0.05678645250608097
,,amoooo suas rasteiras na o sa o da sua lj mas poderia indicar aonde taam aquela custo benefacio,raw,outros,disponibilidade,0.2565544537230074,0.05822612529314905
