ts,autor,texto,origem,label_regra,pred_label,pred_prob
,,tem body preto tamanho 40?,synthetic,duvida_tamanho,duvida_tamanho,0.7737864018471049
,,tem vestido verde tamanho 38?,synthetic,duvida_tamanho,duvida_tamanho,0.772386847231338
,,tem blazer verde tamanho 42?,synthetic,duvida_tamanho,duvida_tamanho,0.7811538758323974
,,tem jaqueta preto tamanho 40?,synthetic,duvida_tamanho,duvida_tamanho,0.743910666220786
,,tem body preto tamanho 46?,raw,duvida_tamanho,duvida_tamanho,0.7737864018471049
,,quero vestido verde 44,raw,duvida_tamanho,duvida_tamanho,0.6818436276195519
,,tem camisa preto tamanho 42?,raw,duvida_tamanho,duvida_tamanho,0.7772595162643368
,,quero vestido verde 42,raw,duvida_tamanho,duvida_tamanho,0.6818436276195519
,,tem body verde tamanho P?,raw,duvida_tamanho,duvida_tamanho,0.7841230453141573
,,tem body verde tamanho 40?,raw,duvida_tamanho,duvida_tamanho,0.7841230453141573
,,tem camisa verde tamanho GG?,raw,duvida_tamanho,duvida_tamanho,0.6965140529387046
,,tem vestido verde tamanho 44?,raw,duvida_tamanho,duvida_tamanho,0.772386847231338
,,tem blazer verde tamanho G?,synthetic,duvida_tamanho,duvida_tamanho,0.7811538758323974
,,tem vestido preto tamanho 46?,synthetic,duvida_tamanho,duvida_tamanho,0.7666746653697418
,,quero camisa preto 46,raw,duvida_tamanho,duvida_tamanho,0.7040930590573308
,,quero saia verde M,raw,duvida_tamanho,duvida_tamanho,0.6829114443183715
,,quero saia verde P,raw,duvida_tamanho,duvida_tamanho,0.6829114443183715
,,quero saia verde 36,raw,duvida_tamanho,duvida_tamanho,0.6829114443183715
,,tem camisa verde tamanho 44?,raw,duvida_tamanho,duvida_tamanho,0.784383032839313
,,tem blazer verde tamanho M?,raw,duvida_tamanho,duvida_tamanho,0.7811538758323974
,,tem blazer preto tamanho 38?,raw,duvida_tamanho,duvida_tamanho,0.7810016471857941
,,tem camisa preto tamanho 38?,synthetic,duvida_tamanho,duvida_tamanho,0.7772595162643368
,,quero jaqueta preto GG,raw,duvida_tamanho,duvida_tamanho,0.620824562866488
,,quero jaqueta verde 42,raw,duvida_tamanho,duvida_tamanho,0.6832934313457918
,,quero blazer preto M,raw,duvida_tamanho,duvida_tamanho,0.7040330644121816
,,tem vestido preto tamanho G?,raw,duvida_tamanho,duvida_tamanho,0.7666746653697418
,,tem camisa verde tamanho M?,raw,duvida_tamanho,duvida_tamanho,0.784383032839313
,,quero camisa preto P,raw,duvida_tamanho,duvida_tamanho,0.7040930590573308
,,tem body preto tamanho 42?,raw,duvida_tamanho,duvida_tamanho,0.7737864018471049
,,quero jaqueta preto P,raw,duvida_tamanho,duvida_tamanho,0.6670312694757418
,,quero vestido preto 46,raw,duvida_tamanho,duvida_tamanho,0.6795654181803399
,,quero jaqueta preto G,raw,duvida_tamanho,duvida_tamanho,0.6670312694757418
,,tem vestido verde tamanho PP?,raw,duvida_tamanho,duvida_tamanho,0.7021376628758043
,,quero jaqueta verde 46,raw,duvida_tamanho,duvida_tamanho,0.6832934313457918
,,quero camisa preto 42,raw,duvida_tamanho,duvida_tamanho,0.7040930590573308
,,tem saia preto tamanho 40?,raw,duvida_tamanho,duvida_tamanho,0.7459940370064471
,,quero vestido preto PP,raw,duvida_tamanho,duvida_tamanho,0.6120765270715318
,,tem blazer preto tamanho G?,raw,duvida_tamanho,duvida_tamanho,0.7810016471857941
,,tem body preto tamanho GG?,synthetic,duvida_tamanho,duvida_tamanho,0.6897188177034863
,,tem body preto tamanho P?,raw,duvida_tamanho,duvida_tamanho,0.7737864018471049
,,tem saia verde tamanho GG?,raw,duvida_tamanho,duvida_tamanho,0.7003425352779904
,,tem saia verde tamanho 46?,raw,duvida_tamanho,duvida_tamanho,0.7873170172067561
,,tem camisa verde tamanho G?,synthetic,duvida_tamanho,duvida_tamanho,0.784383032839313
,,tem vestido verde tamanho P?,raw,duvida_tamanho,duvida_tamanho,0.772386847231338
,,quero jaqueta preto 36,raw,duvida_tamanho,duvida_tamanho,0.6670312694757418
,,tem body preto tamanho 44?,raw,duvida_tamanho,duvida_tamanho,0.7737864018471049
,,quero vestido verde PP,raw,duvida_tamanho,duvida_tamanho,0.6234344922472215
,,quero camisa verde P,raw,duvida_tamanho,duvida_tamanho,0.7088883962178296
,,quero jaqueta verde 44,raw,duvida_tamanho,duvida_tamanho,0.6832934313457918
,,tem body preto tamanho PP?,raw,duvida_tamanho,duvida_tamanho,0.701572309782963
,,tem vestido verde tamanho G?,raw,duvida_tamanho,duvida_tamanho,0.772386847231338
,,quero body preto M,raw,duvida_tamanho,duvida_tamanho,0.6901740036741603
,,tem camisa preto tamanho 46?,raw,duvida_tamanho,duvida_tamanho,0.7772595162643368
,,tem blazer preto tamanho 36?,synthetic,duvida_tamanho,duvida_tamanho,0.7810016471857941
,,tem saia preto tamanho 36?,raw,duvida_tamanho,duvida_tamanho,0.7459940370064471
,,tem vestido preto tamanho 36?,raw,duvida_tamanho,duvida_tamanho,0.7666746653697418
,,quero vestido verde 40,raw,duvida_tamanho,duvida_tamanho,0.6818436276195519
,,quero blazer verde 46,raw,duvida_tamanho,duvida_tamanho,0.7014575844651567
,,tem vestido verde tamanho 36?,raw,duvida_tamanho,duvida_tamanho,0.772386847231338
,,tem camisa verde tamanho 42?,raw,duvida_tamanho,duvida_tamanho,0.784383032839313
,,quero body preto 36,raw,duvida_tamanho,duvida_tamanho,0.6901740036741603
,,quero blazer preto 42,raw,duvida_tamanho,duvida_tamanho,0.7040330644121816
,,tem body verde tamanho GG?,raw,duvida_tamanho,duvida_tamanho,0.6963457908178523
,,tem saia verde tamanho PP?,raw,duvida_tamanho,duvida_tamanho,0.7122751296754332
,,tem jaqueta verde tamanho P?,raw,duvida_tamanho,duvida_tamanho,0.7624826975819694
,,quero saia verde G,raw,duvida_tamanho,duvida_tamanho,0.6829114443183715
,,tem jaqueta preto tamanho P?,synthetic,duvida_tamanho,duvida_tamanho,0.743910666220786
,,tem camisa verde tamanho 46?,synthetic,duvida_tamanho,duvida_tamanho,0.784383032839313
,,quero camisa verde 40,raw,duvida_tamanho,duvida_tamanho,0.7088883962178296
,,quero jaqueta verde GG,raw,duvida_tamanho,duvida_tamanho,0.6359479794399858
,,quero camisa preto 40,raw,duvida_tamanho,duvida_tamanho,0.7040930590573308
